Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
review,revue
lower,loa
CSIRO,cairo
comma,comme
embeddings,and beddings 
embedding,and bedding
CSIRO,sire
dot foxy,df
llama,lama
topic info,topic in for
document info,document in for
modeling,modelling
topic info,topic infer
sentence,sentenced
CSIRO,caro
cosine,cosign
tech,tach
API,A pee eye
